"","funding_round_type","raised_amount_usd.Total_amount_invested","raised_amount_usd.Avg_amt_of_investments","fraction"
"1","angel",4659255123,958694.469753086,0.47057237443537
"2","convertible_note",2103125572,1453438.54319281,0.212410088742802
"3","debt_financing",113884840886,17043526.023047,11.5020660112325
"4","equity_crowdfunding",661116163,538368.210912052,0.0667709739835406
"5","grant",9134424145,4300576.33945386,0.922552542313839
"6","non_equity_assistance",30017823,411203.054794521,0.0030317202796561
"7","post_ipo_debt",25643094917,168704571.822368,2.58988437945733
"8","post_ipo_equity",51610606151,82182493.8710191,5.2125339440282
"9","private_equity",141925436105,73308593.0294421,14.3340915441658
"10","product_crowdfunding",526168593,1363131.06994819,0.053141628355801
"11","secondary_market",2389488903,79649630.1,0.241332023486124
"12","seed",16989864181,719817.996907173,1.7159310915432
"13","undisclosed",30441429697,19242370.2256637,3.07450342931665
"14","venture",590126216876,11748949.1294895,59.6011782486592
