,category_list,main_sector
0,,Blanks
1,3D,Manufacturing
2,3D Printing,Manufacturing
3,3D Technology,Manufacturing
4,Accounting,"Social, Finance, Analytics, Advertising"
5,Active Lifestyle,Health
6,Ad Targeting,"Social, Finance, Analytics, Advertising"
7,Advanced Materials,Manufacturing
8,Adventure Travel,Automotive & Sports
9,Advertising,"Social, Finance, Analytics, Advertising"
10,Advertising Exchanges,"Social, Finance, Analytics, Advertising"
11,Advertising Networks,"Social, Finance, Analytics, Advertising"
12,Advertising Platforms,"Social, Finance, Analytics, Advertising"
13,Advice,Others
14,Aerospace,Automotive & Sports
15,Agriculture,Manufacturing
16,Air Pollution Control,Cleantech / Semiconductors
17,Algorithms,Others
18,All Markets,Others
19,All Students,Others
20,Alternative Medicine,Health
21,Alumni,Others
22,Analytics,"Social, Finance, Analytics, Advertising"
23,Android,"Social, Finance, Analytics, Advertising"
24,Angels,Others
25,Animal Feed,Health
26,Anything Capital Intensive,"Social, Finance, Analytics, Advertising"
27,App Discovery,"News, Search and Messaging"
28,App Marketing,"News, Search and Messaging"
29,App Stores,"News, Search and Messaging"
30,Application Performance Monitoring,"News, Search and Messaging"
31,Application Platforms,"News, Search and Messaging"
32,Apps,"News, Search and Messaging"
33,Aquaculture,Cleantech / Semiconductors
34,Architecture,Manufacturing
35,Archiving,"News, Search and Messaging"
36,Art,Entertainment
37,Artificial Intelligence,"Social, Finance, Analytics, Advertising"
38,Artists Globally,Entertainment
39,Assisitive Technology,Health
40,Assisted Living,Health
41,Auctions,"Social, Finance, Analytics, Advertising"
42,Audio,Entertainment
43,Audiobooks,Entertainment
44,Augmented Reality,"Social, Finance, Analytics, Advertising"
45,Auto,Automotive & Sports
46,Automated Kiosk,Automotive & Sports
47,Automotive,Automotive & Sports
48,B2B,"Social, Finance, Analytics, Advertising"
49,B2B Express Delivery,"Social, Finance, Analytics, Advertising"
50,Babies,Health
51,Baby Accessories,Health
52,Baby Boomers,Health
53,Baby Safety,Health
54,Banking,"Social, Finance, Analytics, Advertising"
55,Batteries,Manufacturing
56,Beauty,Health
57,Bicycles,Automotive & Sports
58,Big Data,"Social, Finance, Analytics, Advertising"
59,Big Data Analytics,"Social, Finance, Analytics, Advertising"
60,Billing,"Social, Finance, Analytics, Advertising"
61,Bio-Pharm,Cleantech / Semiconductors
62,Biofuels,Cleantech / Semiconductors
63,Bioinformatics,Cleantech / Semiconductors
64,Biomass Power Generation,Cleantech / Semiconductors
65,Biometrics,Cleantech / Semiconductors
66,Biotechnology,Cleantech / Semiconductors
67,Bitcoin,Cleantech / Semiconductors
68,Blogging Platforms,"News, Search and Messaging"
69,Boating Industry,Automotive & Sports
70,BPO Services,"Social, Finance, Analytics, Advertising"
71,Brand Marketing,"Social, Finance, Analytics, Advertising"
72,Brewing,Entertainment
73,Bridging Online and Offline,"Social, Finance, Analytics, Advertising"
74,Broadcasting,"News, Search and Messaging"
75,Brokers,"News, Search and Messaging"
76,Browser Extensions,"News, Search and Messaging"
77,Building Owners,"News, Search and Messaging"
78,Building Products,Manufacturing
79,Business Analytics,"Social, Finance, Analytics, Advertising"
80,Business Development,"Social, Finance, Analytics, Advertising"
81,Business Information Systems,"Social, Finance, Analytics, Advertising"
82,Business Intelligence,"Social, Finance, Analytics, Advertising"
83,Business Productivity,"Social, Finance, Analytics, Advertising"
84,Business Services,"Social, Finance, Analytics, Advertising"
85,Business Travelers,Entertainment
86,Cable,"News, Search and Messaging"
87,CAD,Automotive & Sports
88,Call Center Automation,"News, Search and Messaging"
89,Cannabis,Health
90,Carbon,Cleantech / Semiconductors
91,Career Management,"Social, Finance, Analytics, Advertising"
92,Career Planning,"Social, Finance, Analytics, Advertising"
93,Cars,Automotive & Sports
94,Casual Games,Entertainment
95,Celebrity,Entertainment
96,Certification Test,"News, Search and Messaging"
97,Charities,"Social, Finance, Analytics, Advertising"
98,Charity,"Social, Finance, Analytics, Advertising"
99,Charter Schools,"Social, Finance, Analytics, Advertising"
100,Chat,"News, Search and Messaging"
101,Chemicals,Cleantech / Semiconductors
102,Child Care,Health
103,China Internet,"News, Search and Messaging"
104,Civil Engineers,Manufacturing
105,Classifieds,"News, Search and Messaging"
106,Clean Energy,Cleantech / Semiconductors
107,Clean Technology,Cleantech / Semiconductors
108,Clean Technology IT,Cleantech / Semiconductors
109,Clinical Trials,Health
110,Cloud-Based Music,"News, Search and Messaging"
111,Cloud Computing,"News, Search and Messaging"
112,Cloud Data Services,"News, Search and Messaging"
113,Cloud Infrastructure,"News, Search and Messaging"
114,Cloud Management,"News, Search and Messaging"
115,Cloud Security,"News, Search and Messaging"
116,Coffee,Entertainment
117,Collaboration,"Social, Finance, Analytics, Advertising"
118,Collaborative Consumption,"Social, Finance, Analytics, Advertising"
119,Collectibles,Others
120,College Campuses,Others
121,College Recruiting,"Social, Finance, Analytics, Advertising"
122,Colleges,"Social, Finance, Analytics, Advertising"
123,Comics,Entertainment
124,Commercial Real Estate,"News, Search and Messaging"
125,Commercial Solar,Cleantech / Semiconductors
126,Commodities,Cleantech / Semiconductors
127,Communications Hardware,Manufacturing
128,Communications Infrastructure,Manufacturing
129,Communities,"Social, Finance, Analytics, Advertising"
130,Comparison Shopping,"News, Search and Messaging"
131,Computer Vision,Manufacturing
132,Computers,Manufacturing
133,Concentrated Solar Power,Cleantech / Semiconductors
134,Concerts,Entertainment
135,Console Gaming,Entertainment
136,Construction,Manufacturing
137,Consulting,"Social, Finance, Analytics, Advertising"
138,Consumer Behavior,"Social, Finance, Analytics, Advertising"
139,Consumer Electronics,Manufacturing
140,Consumer Goods,Manufacturing
141,Consumer Internet,"Social, Finance, Analytics, Advertising"
142,Consumer Lending,"Social, Finance, Analytics, Advertising"
143,Consumers,"Social, Finance, Analytics, Advertising"
144,Contact Centers,"Social, Finance, Analytics, Advertising"
145,Contact Management,"Social, Finance, Analytics, Advertising"
146,Content,Entertainment
147,Content Creators,Entertainment
148,Content Delivery,Entertainment
149,Content Discovery,Entertainment
