Id,avgAnnCount,avgDeathsPerYear,incidenceRate,medIncome,popEst2015,povertyPercent,studyPerCap,binnedInc,MedianAge,MedianAgeMale,MedianAgeFemale,Geography,AvgHouseholdSize,PercentMarried,PctNoHS18_24,PctHS18_24,PctSomeCol18_24,PctBachDeg18_24,PctHS25_Over,PctBachDeg25_Over,PctEmployed16_Over,PctUnemployed16_Over,PctPrivateCoverage,PctPrivateCoverageAlone,PctEmpPrivCoverage,PctPublicCoverage,PctPublicCoverageAlone,PctWhite,PctBlack,PctAsian,PctOtherRace,PctMarriedHouseholds,BirthRate,TARGET_deathRate
33001,913,346,501.4,54959,172126,12.2,360.2012479,"(54545.6, 61494.5]",37.6,36.6,38.6,"Scott County, Iowa",2.46,50.7,12.4,30.6,47.1,10,28.3,20.4,62.3,5.4,75.2,60.1,54.9,29.9,14.8,86.18892432,7.714978176,2.28949257,0.987681918,48.58438317,5.083188478,185.1
33002,80,29,446.8,55637,11927,9.6,0,"(54545.6, 61494.5]",46.6,45.3,47.4,"Shelby County, Iowa",2.32,57.3,14.4,26.3,,5.6,36.8,16.1,63.9,2.9,75.2,54.8,43.7,35.4,14.6,96.07238159,0.19179453,0.483655771,1.692795197,53.55309909,3.811252269,138.5
33003,160,57,427.3,60205,34937,7.5,28.62294988,"(54545.6, 61494.5]",33.3,32.6,34.1,"Sioux County, Iowa",2.73,60.4,8.9,21.3,,9.1,31.9,17.9,72.2,1.8,80.2,,51.1,24.6,11.2,92.53817845,0.434669217,0.736039874,4.929148918,66.62133447,5.625717566,140.7
33004,340,117,451.8,52128,96021,19.5,1614.23022,"(51046.4, 54545.6]",25.9,24.8,27.7,"Story County, Iowa",2.35,41.5,1.6,11.4,,12.1,18.8,27.3,63.9,5.5,86.7,73.3,62.5,18.7,7.8,88.01957558,2.429850619,6.55226209,0.338725878,44.69791928,3.565762635,152.5
33005,119,46,493.6,54957,17337,12.9,0,"(54545.6, 61494.5]",43,41.7,43.6,"Tama County, Iowa",2.51,58.5,16.5,40.1,,10,41,11.2,60.1,5.6,75.2,57.4,48.1,32.3,14.1,88.68356313,0.509182448,0.26317295,1.287258997,56.56848306,6.724330357,171.6
33006,46,19,475.5,46501,6205,13.1,0,"(45201, 48021.6]",43.7,40.9,45.9,"Taylor County, Iowa",2.23,62.3,14.7,41.3,,4.9,42,10.3,62.4,4.4,68.3,49.1,38.7,37.6,17.5,95.87960728,0.209238693,0.611620795,1.738290681,55.57580175,5.024311183,181.3
33007,73,31,431.6,44905,12469,12.8,882.1878258,"(42724.4, 45201]",40.6,39.7,41.5,"Union County, Iowa",2.3,51.2,21.8,26.1,46.1,6,40,11.5,64.1,5.4,71.4,51.6,43.1,37.4,16.8,97.36779324,0.986083499,0.333996024,0.007952286,47.6859659,7.681053402,173.4
33008,50,21,463.5,42555,7344,14.4,0,"(40362.7, 42724.4]",43.9,42.8,46.8,"Van Buren County, Iowa",2.49,60.6,25.6,23.8,,8.2,43.5,9.5,,6.6,65.1,,37,38.7,19.5,97.92787944,0.605489774,0.24219591,0.08073197,60.39402174,7.260963336,181.9
33009,231,86,516.3,42414,35173,16.7,398.0325818,"(40362.7, 42724.4]",39.8,38.1,41.5,"Wapello County, Iowa",2.38,52.2,22.8,21,,5.7,36.7,11.1,57.1,8,67.9,49.8,44.7,38.9,18.9,92.01189296,2.061446977,0.897635566,3.508424182,49.41006003,6.180279523,182.7
33010,254,89,495.8,67342,48626,6.3,226.2164274,"(61494.5, 125635]",38.4,37.2,39.5,"Warren County, Iowa",2.54,56.6,9.3,25.1,,7.8,32.6,20.4,68,4.8,81.4,65.6,60,27.4,12.4,96.82806781,0.50271339,0.384922805,0.372302385,57.88772281,4.428405952,170.6
